20.0, 26.0, 26.0, 27.0, 35.0, 38.0
0, 0, 0, 0, 0, 0
32.0, 44.0, 47.0, 54.0, 62.0, 60.0
4605, 6510, 6920, 8503, 8925, 10108
27.0, 30.0, 44.0, 44.0, 56.0, 47.0
0, 0, 0, 0, 0, 0
32.0, 44.0, 47.0, 54.0, 62.0, 51.0
103961, 136976, 160192, 184269, 202129, 215192

10.0, 20.0, 15.0, 26.0, 12.0, 21.0
0, 0, 0, 0, 0, 0
28.0, 31.0, 34.0, 39.0, 44.0, 59.0
2725, 3547, 5302, 6075, 6434, 7759
26.0, 29.0, 24.0, 31.0, 37.0, 50.0
0, 0, 0, 0, 0, 0
28.0, 31.0, 34.0, 39.0, 44.0, 59.0
107385, 126169, 154854, 182617, 196626, 212610

10.0, 20.0, 15.0, 26.0, 12.0, 21.0
0, 0, 0, 0, 0, 0
28.0, 31.0, 34.0, 39.0, 44.0, 59.0
2725, 3547, 5302, 6075, 6434, 7759
26.0, 29.0, 24.0, 31.0, 37.0, 50.0
0, 0, 0, 0, 0, 0
28.0, 31.0, 34.0, 39.0, 44.0, 59.0
107385, 126169, 154854, 182617, 196626, 212610

17.0, 27.0, 25.0, 31.0, 40.0, 51.0
0, 0, 0, 0, 0, 0
28.0, 39.0, 42.0, 47.0, 49.0, 65.0
8338, 11317, 14833, 15573, 17904, 20251
26.0, 30.0, 39.0, 41.0, 45.0, 56.0
0, 0, 0, 0, 1, 2
28.0, 39.0, 43.0, 47.0, 49.0, 65.0
257698, 293815, 342033, 370320, 418177, 453694

16.0, 23.0, 29.0, 30.0, 21.0, 20.0
0, 0, 0, 0, 0, 0
31.0, 35.0, 37.0, 46.0, 50.0, 51.0
8358, 10244, 12021, 15723, 14604, 15575
28.0, 32.0, 33.0, 40.0, 43.0, 48.0
0, 1, 0, 0, 0, 6
31.0, 35.0, 37.0, 46.0, 50.0, 51.0
268784, 325280, 388925, 437082, 456712, 515766



